Copy of Revenue Forecast Model 2023-2027 (05/22/2026),,,, Sites name changed ,8:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",0% - 10%,,,,,,,,,,,,,,,,,,Total Actual + Fin goals,Sponsor Vs Fin goals,Total Actual + Ops goals,Sponsor Vs Ops goals,,,,,,,,,,,,,,
PMT,1734,5016,TTH | BHV3000-406,Tomball 13406,Dr. Muhammad Irfan,BHV3000-406,Closed,Closed,Biohaven,Linical,Migraine, General Medicine ,Non-Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,1/6/2023,Non-Psych,"15,601", Pfizer/Biohaven-C4951004/BHV3000-406-Migraine ,Linical,Biohaven,Active,Closed,5016TTH | BHV3000-406,3,0,3,"64,406","64,406",No Priority,"74,760",Q1,Others,Closed,Tomball 13406,Psychiatry,76% - 85%,Closed,Other,Other,Not Priority,0,0,0,  - ,,,0,0,  3 ,,,0,,0,  3 ,0,  3 ,,269,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,18,1697,TTH | BHV3000-407,Tomball 13406,Dr. Muhammad Irfan,BHV3000-407,Closed,Closed,Biohaven,Linical,Migraine,General Medicine,Non-Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,11/11/2022,Non-Psych,"19,673",Pfizer/Biohaven-C4951012/BHV3000-407-Migraine,Linical,Biohaven,Active,Closed,1697TTH | BHV3000-407,1,0,1,"23,913","23,913",No Priority,"43,371",Q4,Others,Closed,Tomball 13406,Psychiatry,76% - 85%,Closed,Other,Other,Not Priority,0,0,0,  - ,,17,0,0,3,1,1,0,,1,2,1,2,,274,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,255,989,CYF | C4781001 | Ph 1,CyFair,Dr. Muhammad Irfan,C4781001 - Phase 1,Closed,Pre-Closed,Pfizer,Syneos Health,Influenza,Vaccine-Influenza,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,9/23/2021,Non-Psych,"16,546", Pfizer-DMCR-C4781001 ,Syneos Health,Pfizer,Active,Closed,989CYF | C4781001 | Ph 1,5,0,5,0,0,No Priority,"14,359",Q3,Syneos Health,Closed,CyFair,Vaccine-Influenza,76% - 85%,Closed,Pfizer,Syneos Health,Not Priority,0,0,0,  - ,,0,0,0,0,4,4,0,,4,-4,4,-4,,"1,292",301 Onwards,N/A,Not Included,,,,,0,0,0,0,0
PMT,92,1342,SFL | mRNA-1345-P301 | Ph 3,Southfield,Dr. Rebecca Rivard,mRNA-1345-P301 - Phase 3,Closed,Closed,Moderna,PPD,RSV Vaccine, Vaccine-Respiratory ,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,5/24/2022,Non-Psych,"36,394", Moderna - DMCR - mRNA-1345-P301 ,PPD,Moderna,Active,Closed,1342SFL | mRNA-1345-P301 | Ph 3,191,0,191,"5,253,988","5,253,988",No Priority,"6,190,268",Q2,PPD,Closed,Southfield,Vaccine-Respiratory,76% - 85%,Closed,Moderna,PPD,Not Priority,0,0,0,  - ,,,0,0,0,218,218,0,,218,-218,218,-218,,273,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,102,771,SFL | mRNA-1010-P302,Southfield,Dr. Rebecca Rivard,mRNA-1010-P302,Closed,Closed,Moderna,Parexel,Influenza,Vaccine-Influenza,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,10/14/2022,Non-Psych,"11,277",Moderna-DMCR-mRNA-1010-P302,Parexel,Moderna,Active,Closed,771SFL | mRNA-1010-P302,100,0,100,"503,618","503,618",No Priority,"533,931",Q4,Parexel,Closed,Southfield,Vaccine-Influenza,76% - 85%,Closed,Moderna,Parexel,Not Priority,0,0,0,  - ,,0,0,0,1,137,137,0,,137,-136,137,-136,,273,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,109,4228,SFL | mRNA-1647-P301,Southfield,Dr. Rebecca Rivard,mRNA-1647-P301,Maintenance,Maintenance,Moderna,PPD,CMV,Vaccine-Other,Vaccine,,199,0,"2,230",0,0,0,0,0,0,0,0,0,"2,429.00",Maintenance,0,100%,,1/26/2023,Non-Psych,"18,362", Moderna-mRNA-1647-P301 ,PPD,Moderna,Active,Maintenance,4228SFL | mRNA-1647-P301,6,0,6,"458,893","458,893",No Priority,"475,592",Q1,PPD,Maintenance,Southfield,Vaccine-Other,76% - 85%,Maintenance,Moderna,PPD,Not Priority,"2,429",0,0,  - ,,  14 ,0,0,  20 ,15,15,0,,15,  5 ,15,  5 ,,273,151 to 300 Days,N/A,Not Included,,,,,199,0,"2,230",0,"2,429"
PMT,99,774,SFL | mRNA-1345-P901,Southfield,Dr. Rebecca Rivard,mRNA-1345-P901,Closed,Closed,Moderna,None,RSV Vaccine,Vaccine-RSV,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,12/15/2022,Non-Psych,925,Moderna-DMCR-mRNA-1345-P901,No CRO,Moderna,Active,Closed,774SFL | mRNA-1345-P901,44,0,44,"22,200","22,200",No Priority,"30,375",Q4,No CRO,Closed,Southfield,Vaccine-Respiratory,76% - 85%,Closed,Moderna,Other,Not Priority,0,0,0,  - ,,0,0,0,20,51,51,0,,51,-31,51,-31,,274,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,366,1038,TMB | C3671008 | Infant,Tomball 13406,Dr. Shaikh Arif Ali,C3671008,Closed,Closed,Pfizer,ICON,RSV Vaccine,Vaccine-Respiratory,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,9/4/2020,Non-Psych,"10,850", Pfizer-DMCR-C3671008-Maternal ,ICON,Pfizer,Active,Closed,1038TMB | C3671008 | Infant,8,0,8,0,0,No Priority,-248,Q3,ICON,Closed,Tomball 13406,Vaccine-Respiratory,76% - 85%,Closed,Pfizer,ICON,Not Priority,0,0,0,  - ,,0,0,0,1,8,8,0,,8,-7,8,-7,,"1,292",301 Onwards,N/A,Not Included,,,,,0,0,0,0,0
PMT,92,779,HBL | mRNA-1345-P301 | Ph 2,Humble,Dr. Fredric Santiago,mRNA-1345-P301 - Phase 2,Closed,DM Declined,Moderna,PPD,RSV Vaccine, Vaccine-Respiratory ,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,12/7/2021,Non-Psych,"36,504", Moderna - DMCR - mRNA-1345-P301 ,PPD,Moderna,Active,Closed,779HBL | mRNA-1345-P301 | Ph 2,62,0,62,"988,544","988,544",No Priority,"1,181,390",Q4,PPD,Closed,Humble,Vaccine-Respiratory,76% - 85%,Closed,Moderna,PPD,Not Priority,0,0,0,  - ,,,0,0,0,,,0,,0,0,0,0,,273,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,92,780,HBL | mRNA-1345-P301 | Ph 3,Humble,Dr. Fredric Santiago,mRNA-1345-P301 - Phase 3,Closed,DM Declined,Moderna,PPD,RSV Vaccine,Vaccine-Respiratory,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,2/24/2022,Non-Psych,"36,394", Moderna - DMCR - mRNA-1345-P301 ,PPD,Moderna,Active,Closed,780HBL | mRNA-1345-P301 | Ph 3,75,0,75,"1,614,212","1,614,212",No Priority,"1,874,397",Q1,PPD,Closed,Humble,Vaccine-Respiratory,76% - 85%,Closed,Moderna,PPD,Not Priority,0,0,0,  - ,,,0,0,0,,,0,,0,0,0,0,,273,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,408,1032,HBL | C3671013,Humble,Dr. Fredric Santiago,C3671013,Closed,Pre-Closed,Pfizer,ICON,RSV Vaccine, Vaccine-Respiratory ,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,9/1/2021,Non-Psych,"6,826",Pfizer-DMCR-C3671013,ICON,Pfizer,Active,Closed,1032HBL | C3671013,86,0,86,"63,099","63,099",No Priority,"145,954",Q3,ICON,Closed,Humble,Vaccine-Respiratory,76% - 85%,Closed,Pfizer,ICON,Not Priority,0,0,0,  - ,,,0,0,0,,,0,,0,0,0,0,,269,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,255,1033,HBL | C4781001 | Ph 1,Humble,Dr. Fredric Santiago,C4781001 - Phase 1,Closed,Pre-Closed,Pfizer,Syneos Health,Influenza,Vaccine-Influenza,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,9/23/2021,Non-Psych,"16,546", Pfizer-DMCR-C4781001 ,Syneos Health,Pfizer,Active,Closed,1033HBL | C4781001 | Ph 1,2,0,2,0,0,No Priority,"20,632",Q3,Syneos Health,Closed,Humble,Vaccine-Influenza,76% - 85%,Closed,Pfizer,Syneos Health,Not Priority,0,0,0,  - ,,,0,0,0,2,2,0,,2,-2,2,-2,,"1,292",301 Onwards,N/A,Not Included,,,,,0,0,0,0,0
PMT,99,1340,HBL | mRNA-1345-P901,Humble,Dr. Fredric Santiago,mRNA-1345-P901,Maintenance,Maintenance,Moderna,None,RSV Vaccine,Vaccine-RSV,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Maintenance,0,100%,,11/7/2022,Non-Psych,925,Moderna-DMCR-mRNA-1345-P901,No CRO,Moderna,Active,Maintenance,1340HBL | mRNA-1345-P901,113,0,113,"75,850","75,850",No Priority,"82,175",Q4,No CRO,Maintenance,Humble,Vaccine-Respiratory,76% - 85%,Maintenance,Moderna,Other,Not Priority,0,0,0,  - ,,0,0,0,20,111,111,0,,111,-91,111,-91,,274,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,131,1343,HBL | C4781004,Humble,Dr. Fredric Santiago,C4781004,Closed,Closed,Pfizer,ICON,Influenza,Vaccine-Influenza,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,10/17/2022,Non-Psych,"3,813",Pfizer-DMCR-C4781004,ICON,Pfizer,Active,Closed,1343HBL | C4781004,68,0,68,"48,588","48,588",No Priority,"163,056",Q4,ICON,Closed,Humble,Vaccine-Influenza,76% - 85%,Closed,Pfizer,ICON,Not Priority,0,0,0,  - ,,0,0,0,0,69,69,0,,69,-69,69,-69,,"1,292",301 Onwards,N/A,Not Included,,,,,0,0,0,0,0
PMT,417,668,CYF | MK-1654-004,CyFair,Dr. Kashif Ali,MK1654-004,Closed,Closed,Merck,None,RSV Vaccine,Vaccine-Pediatric,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,10/25/2021,Non-Psych,"16,086",Merck-DMCR-K.MK1654-004,No CRO,Merck,Active,Closed,668CYF | MK-1654-004,5,0,5,"1,600","1,600",No Priority,"17,623",Q4,No CRO,Closed,CyFair,Vaccine-Respiratory,76% - 85%,Closed,Other,Other,Not Priority,0,0,0,  - ,,0,0,0,10,8,8,0,,8,2,8,2,,"1,292",301 Onwards,N/A,Not Included,,,,,0,0,0,0,0
PMT,364,994,CYF | B7471011,CyFair,Dr. Kashif Ali,B7471011,Closed,Closed,Pfizer,ICON,Pneumococcal,Vaccine-Other,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,7/2/2020,Non-Psych,"6,788",Pfizer-DMCR-B7471011,ICON,Pfizer,Active,Closed,994CYF | B7471011,20,0,20,0,0,No Priority,"3,643",Q3,ICON,Closed,CyFair,Vaccine-Other,76% - 85%,Closed,Pfizer,ICON,Not Priority,0,0,0,  - ,,0,0,0,35,35,35,0,,35,0,35,0,,"1,292",301 Onwards,N/A,Not Included,,,,,0,0,0,0,0
PMT,98,743,CYF | mRNA-1273-P206,CyFair,Dr. Kashif Ali,mRNA-1273-P206,Closed,Closed,Moderna,PPD,COVID-19, Vaccine-COVID ,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,9/14/2023,Non-Psych,"25,853",Moderna-DMCR-mRNA-1273-p206,PPD,Moderna,Active,Closed,743CYF | mRNA-1273-P206,1,0,1,"21,593","21,593",No Priority,"59,577",Q3,PPD,Closed,CyFair,Vaccine-COVID,76% - 85%,Closed,Moderna,PPD,Not Priority,0,0,0,  - ,,0,0,0,0,1,1,0,,1,-1,1,-1,,273,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,133,1001 & 4303,CYF | C4591048,CyFair,Dr. Kashif Ali,C4591048,Maintenance,Maintenance,Pfizer,ICON,COVID-19,Vaccine-COVID,Vaccine,,820,0,0,0,0,0,0,0,0,0,0,0,820.00,Maintenance,0,100%,,2/7/2023,Non-Psych,"15,513",Pfizer-C4591048,ICON,Pfizer,Active,Closed,1001 & 4303CYF | C4591048,48,0,48,"262,051","262,051",No Priority,"392,094",Q1,ICON,Closed,CyFair,Vaccine-COVID,76% - 85%,Closed,Pfizer,ICON,Not Priority,820,0,0,  - ,,0,0,0,0,0,0,0,,0,0,0,0,,0,0 to 60 Days,N/A,Not Included,,,,,820,0,0,0,820
PMT,1236,1344,TMB | VAV00020,Tomball 13406,Dr. Vicki Miller,VAV00020,Closed,Closed,Sanofi,ICON,Influenza,Vaccine-Influenza,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,1/17/2023,Non-Psych,"12,765",Sanofi-DMCR-VAV00020,ICON,Sanofi,Active,Closed,1344TMB | VAV00020,27,0,27,"382,215","382,215",No Priority,"440,301",Q1,ICON,Closed,Tomball 13406,Vaccine-Influenza,76% - 85%,Closed,Sanofi,ICON,Not Priority,0,0,0,  - ,,0,0,0,1,30,30,0,,30,-29,30,-29,,"1,292",301 Onwards,N/A,Not Included,,,,,0,0,0,0,0
PMT,129,995,CYF | C4601012,CyFair,Dr. Kashif Ali,C4601012,Closed,Pre-Closed,Pfizer,ICON,Lyme,Vaccine-Other,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,2/15/2023,Non-Psych,"8,494",Pfizer-C4601012-Phase 3 Lyme Disease,ICON,Pfizer,Active,Closed,995CYF | C4601012,149,0,149,"1,336,510","1,336,510",No Priority,"2,109,421",Q1,ICON,Closed,CyFair,Vaccine-Other,76% - 85%,Closed,Pfizer,ICON,Not Priority,0,0,0,  - ,,0,0,0,0,189,189,0,,189,-189,189,-189,,270,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,225,131,MDC | BN-RSV-MVA-004,Martin Diagnostic Center,Dr. Earl F. Martin,MVA-BN-RSV-004,Closed,Closed,Bavarian Nordic,ICON,RSV Vaccine,Vaccine-Respiratory,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,6/8/2022,Non-Psych,"8,649",Bavarian Nordic-DMCR-BN-RSV-MVA-004,ICON,Bavarian Nordic,Active,Closed,131MDC | BN-RSV-MVA-004,30,0,30,"398,721","398,721",No Priority,"578,760",Q2,ICON,Closed,Martin Diagnostic Center,Vaccine-Respiratory,76% - 85%,Closed,Other,ICON,Not Priority,0,0,0,  - ,,0,0,0,0,232,232,0,,232,-232,232,-232,,"1,292",301 Onwards,N/A,Not Included,,,,,0,0,0,0,0
PMT,369,1016,MDC | C4591001,Martin Diagnostic Center,Dr. Earl F. Martin,C4591001,Maintenance,Maintenance,Pfizer,ICON,COVID-19,Vaccine-COVID,Vaccine,,0,"-22,910","-41,000","-13,074",-876,0,0,0,0,0,0,0,"-77,860.00",Maintenance,0,100%,,9/30/2021,Non-Psych,"5,803",Pfizer-DMCR-C4591001,ICON,Pfizer,Active,Closed,1016MDC | C4591001,114,0,114,0,0,No Priority,"-35,035",Q3,ICON,Closed,Martin Diagnostic Center,Vaccine-COVID,76% - 85%,Closed,Pfizer,ICON,Not Priority,"-63,910","-13,950",0,  - ,,,0,0,0,304,304,0,,304,-304,304,-304,,"1,292",301 Onwards,N/A,Not Included,,,,,0,"-22,910","-41,000","-13,074","-76,984"
PMT,405,589,MDC | VAC18193RSV3001,Martin Diagnostic Center,Dr. Earl F. Martin,VAC18193RSV3001,Closed,Pre-Closed,Janssen,IQVIA,RSV,Respiratory,Non-Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,8/2/2021,Non-Psych,"6,667",Janssen-DMCR-VAC18193RSV3001-EVERGREEN,IQVIA,Janssen,Active,Closed,589MDC | VAC18193RSV3001,133,0,133,"109,091","109,091",No Priority,"358,668",Q3,IQVIA,Closed,Martin Diagnostic Center,Vaccine-Respiratory,76% - 85%,Closed,Other,IQVIA,Not Priority,0,0,0,  - ,,,0,0,0,329,329,0,,329,-329,329,-329,,"1,292",301 Onwards,N/A,Not Included,,,,,0,0,0,0,0
PMT,305,1192,MDC | V201_07,Martin Diagnostic Center,Dr. Earl F. Martin,V201_07,Closed,Pre-Closed,Seqirus,Parexel,Influenza,Vaccine-Influenza,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,9/15/2022,Non-Psych,"5,758","Seqirus-DMCR-, E.F.-V201_07",Parexel,Seqirus,Active,Closed,1192MDC | V201_07,41,0,41,"17,258","17,258",No Priority,"70,075",Q3,Parexel,Closed,Martin Diagnostic Center,Vaccine-Influenza,76% - 85%,Closed,Seqirus,Parexel,Not Priority,0,0,0,  - ,,,0,0,0,41,41,0,,41,-41,41,-41,,"1,292",301 Onwards,N/A,Not Included,,,,,0,0,0,0,0
PMT,408,1014,MDC | C3671013,Martin Diagnostic Center,Dr. Earl F. Martin,C3671013,Maintenance,Maintenance,Pfizer,ICON,RSV Vaccine,Vaccine-Respiratory,Vaccine,,"5,032","8,731","2,981","1,723",0,0,0,0,0,0,0,0,"18,466.93",Maintenance,0,100%,,9/1/2021,Non-Psych,"6,826",Pfizer-DMCR-C3671013,ICON,Pfizer,Active,Closed,1014MDC | C3671013,206,0,206,"155,891","155,891",No Priority,"434,002",Q3,ICON,Closed,Martin Diagnostic Center,Vaccine-Respiratory,76% - 85%,Closed,Pfizer,ICON,Not Priority,"16,744","1,723",0,  - ,,,0,0,0,230,230,0,,230,-230,230,-230,,"1,292",301 Onwards,N/A,Not Included,,,,,"5,032","8,731","2,981","1,723","18,467"
PMT,402,971,MDC | C4591031 | Ss E,Martin Diagnostic Center,Dr. Earl F. Martin,C4591031,Closed,Closed,Pfizer,ICON,COVID-19,Vaccine-COVID,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,3/21/2022,Non-Psych,"7,242", Pfizer-DMCR-C4591031 ,ICON,Pfizer,Active,Closed,971MDC | C4591031 | Ss E,56,0,56,"3,039","3,039",No Priority,"7,670",Q1,ICON,Closed,Martin Diagnostic Center,Vaccine-COVID,76% - 85%,Closed,Pfizer,ICON,Not Priority,0,0,0,  - ,,0,0,0,0,0,0,0,,0,0,0,0,,0,0 to 60 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,274,72,MDC | ALN-AGT01-002,Martin Diagnostic Center,Dr. Earl F. Martin,ALN-AGT-01-002,Closed,Pre-Closed,Alnylam Pharma,IQVIA,Hypertension,Cardiovascular,Non-Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,4/1/2022,Non-Psych,"26,325",Alnylam-DMCR-ALN-AGT01-002,IQVIA,Alnylam Pharma,Active,Closed,72MDC | ALN-AGT01-002,2,0,2,"24,212","24,212",No Priority,"87,274",Q2,IQVIA,Closed,Martin Diagnostic Center,Cardiovascular,76% - 85%,Closed,Other,IQVIA,Not Priority,0,0,0,  - ,,0,0,0,0,2,2,0,,2,-2,2,-2,,"1,292",301 Onwards,N/A,Not Included,,,,,0,0,0,0,0
PMT,269,74,MDC | ALT-801-104,Martin Diagnostic Center,Dr. Earl F. Martin,ALT-801-104,Closed,Closed,Altimmune,LBR Regulatory,Type 2 Diabetes,Endocrine & Metabolism,Non-Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,3/24/2022,Non-Psych,"27,479",Altimmune-DMCR-ALT-801-104,LBR Regulatory,Altimmune,Active,Closed,74MDC | ALT-801-104,10,0,10,"1,624","1,624",No Priority,"14,850",Q1,Others,Closed,Martin Diagnostic Center,Endocrine & Metabolism,76% - 85%,Closed,Other,Other,Not Priority,0,0,0,  - ,,0,0,0,10,10,10,0,,10,0,10,0,,"1,292",301 Onwards,N/A,Not Included,,,,,0,0,0,0,0
PMT,255,1023,MDC | C4781001 | Ph 1,Martin Diagnostic Center,Dr. Earl F. Martin,C4781001 - Phase 1,Closed,Pre-Closed,Pfizer,Syneos Health,Influenza,Vaccine-Influenza,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,9/30/2021,Non-Psych,"16,546", Pfizer-DMCR-C4781001 ,Syneos Health,Pfizer,Active,Closed,1023MDC | C4781001 | Ph 1,10,0,10,0,0,No Priority,"28,949",Q3,Syneos Health,Closed,Martin Diagnostic Center,Vaccine-Influenza,76% - 85%,Closed,Pfizer,Syneos Health,Not Priority,0,0,0,  - ,,0,0,0,0,,,0,,0,0,0,0,,269,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,402,1021,MDC | C4591031 | Ss D,Martin Diagnostic Center,Dr. Earl F. Martin,C4591031,Maintenance,Maintenance,Pfizer,ICON,COVID-19,Vaccine-COVID,Vaccine,,0,-478,0,0,0,0,0,0,0,0,0,0,-478.00,Maintenance,0,100%,,12/17/2021,Non-Psych,"15,909", Pfizer-DMCR-C4591031 ,ICON,Pfizer,Active,Closed,1021MDC | C4591031 | Ss D,30,0,30,0,0,No Priority,"1,918",Q4,ICON,Closed,Martin Diagnostic Center,Vaccine-COVID,76% - 85%,Closed,Pfizer,ICON,Not Priority,-478,0,0,  - ,,0,0,0,0,36,36,0,,36,-36,36,-36,,"1,292",301 Onwards,N/A,Not Included,,,,,0,-478,0,0,-478
PMT,402,1019,MDC | C4591031,Martin Diagnostic Center,Dr. Earl F. Martin,C4591031,Closed,Closed,Pfizer,ICON,COVID-19,Vaccine-COVID,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,7/13/2021,Non-Psych,"6,308", Pfizer-DMCR-C4591031 ,ICON,Pfizer,Active,Closed,1019MDC | C4591031,72,0,72,0,0,No Priority,"3,914",Q3,ICON,Closed,Martin Diagnostic Center,Vaccine-COVID,76% - 85%,Closed,Pfizer,ICON,Not Priority,0,0,0,  - ,,0,0,0,0,100,100,0,,100,-100,100,-100,,"1,292",301 Onwards,N/A,Not Included,,,,,0,0,0,0,0
PMT,281,952,MDC | C4861001,Martin Diagnostic Center,Dr. Earl F. Martin,C4861001,Closed,Closed,Pfizer,ICON,Pneumococcal,Vaccine-Influenza,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,5/12/2022,Non-Psych,"15,612",Pfizer-DMCR-EF-C4861001,ICON,Pfizer,Active,Closed,952MDC | C4861001,24,0,24,"95,555","95,555",No Priority,"203,806",Q2,ICON,Closed,Martin Diagnostic Center,Vaccine-Other,76% - 85%,Closed,Pfizer,ICON,Not Priority,0,0,0,  - ,,0,0,0,0,30,30,0,,30,-30,30,-30,,"1,292",301 Onwards,N/A,Not Included,,,,,0,0,0,0,0
PMT,280,86,MDC | AR882-202,Martin Diagnostic Center,Dr. Earl E. Martin,AR882-202,Closed,Closed,Arthrosi,ProTrials,Gout,Rheumatoid and Autoimmune,Non-Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,9/13/2022,Non-Psych,"22,718",Arthrosi-DMCR-AR-882-202,ProTrials,Arthrosi,Active,Closed,86MDC | AR882-202,10,0,10,0,0,No Priority,"2,172",Q3,Others,Closed,Martin Diagnostic Center,General Medicine,76% - 85%,Closed,Other,Other,Not Priority,0,0,0,  - ,,,0,0,0,8,8,0,,8,-8,8,-8,,"1,292",301 Onwards,N/A,Not Included,,,,,0,0,0,0,0
PMT,Not in Atom,644,MDC | CP-PRO-CoVLP-021 | Ph 3,Martin Diagnostic Center,Dr. Earl F. Martin,CP-PRO-CoVLP-021 Phase 3,Closed,Pre-Closed,Medicago,Syneos Health,COVID-19,Vaccine-primary COVID,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,10/25/2021,Non-Psych,"18,019",#N/A,Syneos Health,Medicago,Active,Closed,644MDC | CP-PRO-CoVLP-021 | Ph 3,150,0,150,0,0,No Priority,-1,Q4,Syneos Health,Closed,Martin Diagnostic Center,Vaccine-COVID,76% - 85%,Closed,Other,Syneos Health,Not Priority,0,0,0,  - ,,0,0,0,0,57,57,0,,57,-57,57,-57,,"1,292",301 Onwards,N/A,Not Included,,,,,0,0,0,0,0
PMT,388,603,MDC | KBP-201,Martin Diagnostic Center,Dr. Earl F. Martin,KBP-201,Closed,Pre-Closed,Kentucky Bio Processing,ICON,COVID-19,Vaccine-primary COVID,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,9/1/2021,Non-Psych,"14,853",Kentucky BioProcessing-DMCR-KBP-201,ICON,Kentucky Bio Processing,Active,Closed,603MDC | KBP-201,40,0,40,0,0,No Priority,"9,125",Q3,ICON,Closed,Martin Diagnostic Center,Vaccine-COVID,76% - 85%,Closed,Other,ICON,Not Priority,0,0,0,  - ,,,0,0,0,11,11,0,,11,-11,11,-11,,"1,292",301 Onwards,N/A,Not Included,,,,,0,0,0,0,0
PMT,917,1292,MDC | VIR-2482-4002,Martin Diagnostic Center,Dr. Earl F. Martin,VIR-2482-4002,Closed,Closed,Vivus,IQVIA,Influenza,Vaccine-Influenza,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,10/18/2022,Non-Psych,"28,720",Vir/IQVIA-DMCR-VIR-2482-4002,IQVIA,Vivus,Active,Closed,1292MDC | VIR-2482-4002,0,0,0,"382,144","382,144",No Priority,"775,573",Q4,IQVIA,Closed,Martin Diagnostic Center,Vaccine-Influenza,76% - 85%,Closed,Other,IQVIA,Not Priority,0,0,0,  - ,,0,0,0,0,61,61,0,,61,-61,61,-61,,"1,292",301 Onwards,N/A,Not Included,,,,,0,0,0,0,0
PMT,310,867,MDC | NN9535-4820,Martin Diagnostic Center,Dr. Earl F. Martin,NN9535-4820,Closed,Closed,Novo Norsdisk,None,Type 2 Diabetes,Endocrine & Metabolism,Non-Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,9/13/2022,Non-Psych,"14,058",Novo Nordisk-DMCR-NN9535-4820,No CRO,Novo Norsdisk,Active,Closed,867MDC | NN9535-4820,2,0,2,"26,161","26,161",No Priority,"43,806",Q3,No CRO,Closed,Martin Diagnostic Center,Endocrine & Metabolism,76% - 85%,Closed,Other,Other,Not Priority,0,0,0,  - ,,0,0,0,0,3,3,0,,3,-3,3,-3,,"1,292",301 Onwards,N/A,Not Included,,,,,0,0,0,0,0
